id_tmdb,title,tmdb_title,release_date,release_year,release_month,release_quarter,release_period,is_summer_release,is_holiday_release,director_name,top_billed_cast,production_company_names,main_production_company,production_company_count,cast_member_count,tmdb_fetch_status,tmdb_http_status,tmdb_error
106,Predator,Predator,1987-06-12,1987,6,Q2,inverno,1,0,John McTiernan,Arnold Schwarzenegger|Carl Weathers|Kevin Peter Hall,20th Century Fox|Lawrence Gordon Productions|Silver Pictures|Davis Entertainment|Amercent Films|American Entertainment Partners L.P.,20th Century Fox,6,17,ok,200,
107,Snatch,Snatch,2000-09-01,2000,9,Q3,primavera,0,0,Guy Ritchie,Jason Statham|Alan Ford|Stephen Graham,SKA Films,SKA Films,1,71,ok,200,
111,Scarface,Scarface,1983-12-09,1983,12,Q4,verao,0,1,Brian De Palma,Al Pacino|Steven Bauer|Michelle Pfeiffer,Universal Pictures|Martin Bregman Productions,Universal Pictures,2,104,ok,200,
114,Pretty Woman,Pretty Woman,1990-03-23,1990,3,Q1,outono,0,0,Garry Marshall,Richard Gere|Julia Roberts|Ralph Bellamy,Touchstone Pictures|Silver Screen Partners IV|Arnon Milchan Productions,Touchstone Pictures,3,75,ok,200,
115,The Big Lebowski,The Big Lebowski,1998-03-06,1998,3,Q1,outono,0,0,Joel Coen,Jeff Bridges|John Goodman|Julianne Moore,PolyGram Filmed Entertainment|Working Title Films,PolyGram Filmed Entertainment,2,43,ok,200,
116,Match Point,Match Point,2005-10-26,2005,10,Q4,primavera,0,0,Woody Allen,Jonathan Rhys Meyers|Scarlett Johansson|Emily Mortimer,BBC Film|Thema Production|Jada Productions|Kudu Films Limited,BBC Film,4,33,ok,200,
117,The Untouchables,The Untouchables,1987-06-03,1987,6,Q2,inverno,1,0,Brian De Palma,Kevin Costner|Sean Connery|Robert De Niro,Paramount Pictures|Linson Entertainment,Paramount Pictures,2,61,ok,200,
118,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,2005-07-13,2005,7,Q3,inverno,1,0,Tim Burton,Johnny Depp|Freddie Highmore|David Kelly,Warner Bros. Pictures|Village Roadshow Pictures|The Zanuck Company|Plan B Entertainment|Theobald Film Productions,Warner Bros. Pictures,5,49,ok,200,
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,12,Q4,verao,0,1,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Line Cinema,3,117,ok,200,
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002-12-18,2002,12,Q4,verao,0,1,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Line Cinema,3,106,ok,200,
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003-12-17,2003,12,Q4,verao,0,1,Peter Jackson,Elijah Wood|Ian McKellen|Viggo Mortensen,New Line Cinema|WingNut Films|The Saul Zaentz Company,New Line Cinema,3,74,ok,200,
123,The Lord of the Rings,The Lord of the Rings,1978-11-15,1978,11,Q4,primavera,0,1,Ralph Bakshi,Christopher Guard|William Squire|Michael Scholes,Fantasy Films|Bakshi Productions|Saul Zaentz Film Productions,Fantasy Films,3,24,ok,200,
128,もののけ姫,Princess Mononoke,1997-07-12,1997,7,Q3,inverno,1,0,Hayao Miyazaki,Yoji Matsuda|Yuriko Ishida|Yuko Tanaka,Studio Ghibli|dentsu|Tokuma Shoten|Nippon Television Network Corporation|Nibariki|TNDG,Studio Ghibli,6,24,ok,200,
129,千と千尋の神隠し,Spirited Away,2001-07-20,2001,7,Q3,inverno,1,0,Hayao Miyazaki,Rumi Hiiragi|Miyu Irino|Mari Natsuki,Studio Ghibli|Tokuma Shoten|Nippon Television Network Corporation|Mitsubishi|dentsu|TFC,Studio Ghibli,6,48,ok,200,
134,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",2000-08-30,2000,8,Q3,inverno,1,0,Joel Coen,George Clooney|John Turturro|Tim Blake Nelson,Touchstone Pictures|Universal Pictures|StudioCanal|Working Title Films|Mike Zoss Productions,Touchstone Pictures,5,46,ok,200,
137,Groundhog Day,Groundhog Day,1993-02-11,1993,2,Q1,verao,0,0,Harold Ramis,Bill Murray|Andie MacDowell|Chris Elliott,Columbia Pictures,Columbia Pictures,1,50,ok,200,
138,Dracula,Dracula,1931-02-12,1931,2,Q1,verao,0,0,Tod Browning,Bela Lugosi|Helen Chandler|David Manners,Universal Pictures,Universal Pictures,1,27,ok,200,
140,La mala educación,Bad Education,2004-03-19,2004,3,Q1,outono,0,0,Pedro Almodóvar,Gael García Bernal|Fele Martínez|Daniel Giménez Cacho,El Deseo,El Deseo,1,22,ok,200,
141,Donnie Darko,Donnie Darko,2001-01-19,2001,1,Q1,verao,0,0,Richard Kelly,Jake Gyllenhaal|Jena Malone|James Duval,Flower Films|Pandora Cinema|Newmarket Films,Flower Films,3,41,ok,200,
142,Brokeback Mountain,Brokeback Mountain,2005-10-22,2005,10,Q4,primavera,0,0,Ang Lee,Heath Ledger|Jake Gyllenhaal|Michelle Williams,Focus Features|River Road Entertainment|Alberta Film Entertainment,Focus Features,3,51,ok,200,
143,All Quiet on the Western Front,All Quiet on the Western Front,1930-04-29,1930,4,Q2,outono,0,0,Lewis Milestone,Louis Wolheim|Lew Ayres|John Wray,Universal Pictures,Universal Pictures,1,44,ok,200,
144,Der Himmel über Berlin,Wings of Desire,1987-09-23,1987,9,Q3,primavera,0,0,Wim Wenders,Bruno Ganz|Solveig Dommartin|Otto Sander,Road Movies|Argos films|WDR|Wim Wenders Stiftung,Road Movies,4,95,ok,200,
145,Breaking the Waves,Breaking the Waves,1996-07-05,1996,7,Q3,inverno,1,0,Lars von Trier,Emily Watson|Stellan Skarsgård|Katrin Cartlidge,Zentropa Entertainments|Liberator Productions|Trust Film Svenska|Argus Film Produktie|Northern Lights|SVT Drama|Nordisk Film & TV Fond|La Sept Cinéma|VPRO|Media Investment Club,Zentropa Entertainments,10,33,ok,200,
146,卧虎藏龍,"Crouching Tiger, Hidden Dragon",2000-07-06,2000,7,Q3,inverno,1,0,Ang Lee,Chow Yun-Fat|Michelle Yeoh|Zhang Ziyi,Sony Pictures Classics|Columbia Pictures Film Production Asia|Edko Films|Zoom Hunt|China Film Co-Production|Good Machine,Sony Pictures Classics,6,31,ok,200,
149,AKIRA,Akira,1988-06-10,1988,6,Q2,inverno,1,0,Katsuhiro Otomo,Mitsuo Iwata|Nozomu Sasaki|Mami Koyama,MBS|Sumitomo Corporation|TOHO|Kodansha|Tokyo Movie Shinsha|Bandai|Hakuhodo|LaserDisc Corporation,MBS,8,21,ok,200,
150,48 Hrs.,48 Hrs.,1982-12-07,1982,12,Q4,verao,0,1,Walter Hill,Nick Nolte|Eddie Murphy|Annette O'Toole,Paramount Pictures|Lawrence Gordon Productions|Silver Pictures,Paramount Pictures,3,55,ok,200,
152,Star Trek: The Motion Picture,Star Trek: The Motion Picture,1979-12-07,1979,12,Q4,verao,0,1,Robert Wise,William Shatner|Leonard Nimoy|DeForest Kelley,Paramount Pictures|Century Associates|Robert Wise Productions,Paramount Pictures,3,57,ok,200,
153,Lost in Translation,Lost in Translation,2003-09-18,2003,9,Q3,primavera,0,0,Sofia Coppola,Bill Murray|Scarlett Johansson|Giovanni Ribisi,American Zoetrope|Elemental Films,American Zoetrope,2,51,ok,200,
154,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,1982-06-04,1982,6,Q2,inverno,1,0,Nicholas Meyer,William Shatner|Leonard Nimoy|Ricardo Montalban,Paramount Pictures,Paramount Pictures,1,58,ok,200,
155,The Dark Knight,The Dark Knight,2008-07-16,2008,7,Q3,inverno,1,0,Christopher Nolan,Christian Bale|Heath Ledger|Aaron Eckhart,Warner Bros. Pictures|Legendary Pictures|Syncopy|DC,Warner Bros. Pictures,4,138,ok,200,
157,Star Trek III: The Search for Spock,Star Trek III: The Search for Spock,1984-06-01,1984,6,Q2,inverno,1,0,Leonard Nimoy,William Shatner|DeForest Kelley|James Doohan,Paramount Pictures,Paramount Pictures,1,30,ok,200,
161,Ocean's Eleven,Ocean's Eleven,2001-12-07,2001,12,Q4,verao,0,1,Steven Soderbergh,George Clooney|Brad Pitt|Andy Garcia,Warner Bros. Pictures|Village Roadshow Pictures|NPV Entertainment|Jerry Weintraub Productions|Section Eight,Warner Bros. Pictures,5,78,ok,200,
162,Edward Scissorhands,Edward Scissorhands,1990-12-07,1990,12,Q4,verao,0,1,Tim Burton,Johnny Depp|Winona Ryder|Dianne Wiest,20th Century Fox|Tim Burton Productions,20th Century Fox,2,69,ok,200,
163,Ocean's Twelve,Ocean's Twelve,2004-12-09,2004,12,Q4,verao,0,1,Steven Soderbergh,George Clooney|Julia Roberts|Brad Pitt,Warner Bros. Pictures|Jerry Weintraub Productions|Section Eight|Village Roadshow Pictures,Warner Bros. Pictures,4,82,ok,200,
164,Breakfast at Tiffany's,Breakfast at Tiffany's,1961-10-06,1961,10,Q4,primavera,0,0,Blake Edwards,Audrey Hepburn|George Peppard|Patricia Neal,Paramount Pictures|Jurow-Shepherd,Paramount Pictures,2,73,ok,200,
165,Back to the Future Part II,Back to the Future Part II,1989-11-22,1989,11,Q4,primavera,0,1,Robert Zemeckis,Michael J. Fox|Christopher Lloyd|Lea Thompson,Universal Pictures|Amblin Entertainment,Universal Pictures,2,53,ok,200,
