id_tmdb,title,original_language,adult,video,genres,status,runtime,belongs_to_collection,budget,revenue
21316,Leroy & Stitch,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}]",Released,73,"{'id': 97461, 'name': 'Lilo & Stitch Collection', 'poster_path': '/bstyyXaLinnYwoyvo5HaDceJN07.jpg', 'backdrop_path': '/2bQIDuinsMUXjcBZq8hbyPxjhvz.jpg'}",0,0
811941,Devara: Part 1,te,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",Released,175,"{'id': 1187990, 'name': 'Devara Collection', 'poster_path': None, 'backdrop_path': None}",31764000,49520000
1356236,Saint Catherine,en,False,False,"[{'id': 27, 'name': 'Horror'}]",Released,86,,0,0
769,GoodFellas,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Released,145,,25000000,46800000
1356236,Saint Catherine,en,False,False,"[{'id': 27, 'name': 'Horror'}]",Released,86,,0,0
769,GoodFellas,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Released,145,,25000000,46800000
793387,거룩한 밤: 데몬 헌터스,ko,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",Released,92,,0,2263569
954,Mission: Impossible,en,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Released,110,"{'id': 87359, 'name': 'Mission: Impossible Collection', 'poster_path': '/geEjCGfdmRAA1skBPwojcdvnZ8A.jpg', 'backdrop_path': '/mroWh717g0Ah2c0rrPGW6f3EWMM.jpg'}",80000000,457696391
1011985,Kung Fu Panda 4,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",Released,94,"{'id': 77816, 'name': 'Kung Fu Panda Collection', 'poster_path': '/xoYc0RYKSc3xC4S9OpPZxKocKtj.jpg', 'backdrop_path': '/2nbtv33hEk2CTnuMhTGZgsFdi3K.jpg'}",80000000,548040835
1156593,Culpa tuya,es,False,False,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Released,118,"{'id': 1156666, 'name': 'Fault Collection', 'poster_path': '/fR3AsfNeAmgGCy2CMFaOjIaIuA7.jpg', 'backdrop_path': '/7N9p8D39MXJDfm14zlBwW7mBh7g.jpg'}",0,0
696506,Mickey 17,en,False,False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",Released,137,,118000000,131847147
1017129,Чинк - хвостатый детектив,ru,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",Released,85,,0,0
541671,From the World of John Wick: Ballerina,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",Released,125,,85000000,0
1252309,Pídeme lo que quieras,es,False,False,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Released,114,,0,2265661
558449,Gladiator II,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",Released,148,"{'id': 1069584, 'name': 'Gladiator Collection', 'poster_path': '/bk6nx2rGNdlKtBsB9XcrclVKItv.jpg', 'backdrop_path': '/1VdLvSIeHuwqCT13H9EafxCacGB.jpg'}",310000000,462180717
335984,Blade Runner 2049,en,False,False,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",Released,164,"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/qTcATCpiFDcgY8snQIfS2j0bFP7.jpg', 'backdrop_path': '/1xoxtLJ9yAClXFgt9nQRAUb3WJ.jpg'}",150000000,259239658
870028,The Accountant²,en,False,False,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",Released,133,"{'id': 870339, 'name': 'The Accountant Collection', 'poster_path': '/hHfiZBIxzMmkzFds6vkQEJIurIB.jpg', 'backdrop_path': '/t63LZKdR5yzw9e0CEZ4xE226asn.jpg'}",80000000,101449750
539972,Kraven the Hunter,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",Released,127,,120000000,59184643
